time,pH
2015-04-02 20:30:00,8.1512465424
2015-04-02 21:30:00,8.1424011617
2015-04-02 22:30:00,8.1419576124
2015-04-02 23:30:00,8.1501535465
2015-04-03 00:30:00,8.1381760375
2015-04-03 01:30:00,8.1351446578
2015-04-03 02:30:00,8.1321195139
2015-04-03 03:30:00,8.1326111094
2015-04-03 04:30:00,8.1313319983
2015-04-03 05:30:00,8.1344706606
2015-04-03 06:30:00,8.1315702957
2015-04-03 07:30:00,8.1350350425
2015-04-03 08:30:00,8.1356366556
2015-04-03 09:30:00,8.1325980148
2015-04-03 10:30:00,8.1360306847
2015-04-03 11:30:00,8.1340101315
2015-04-03 12:30:00,8.1337150269
2015-04-03 13:30:00,8.1300471892
2015-04-03 14:30:00,8.1306556479
2015-04-03 15:30:00,8.1304590408
2015-04-03 16:30:00,8.1295537349
2015-04-03 17:30:00,8.1304455242
2015-04-03 18:30:00,8.129908962
2015-04-03 19:30:00,8.13195472
2015-04-03 20:30:00,8.1277148782
2015-04-03 21:30:00,8.1307467887
2015-04-03 22:30:00,8.134924515
2015-04-03 23:30:00,8.135809336
2015-04-04 00:30:00,8.1385523652
2015-04-04 01:30:00,8.1328008266
2015-04-04 02:30:00,8.1348529995
2015-04-04 03:30:00,8.1390459314
2015-04-04 04:30:00,8.1374635181
2015-04-04 05:30:00,8.1397075972
2015-04-04 06:30:00,8.1394548346
2015-04-04 07:30:00,8.1478145709
2015-04-04 08:30:00,8.1483945113
2015-04-04 09:30:00,8.1545132899
2015-04-04 10:30:00,8.1564458614
2015-04-04 11:30:00,8.156518027
2015-04-04 12:30:00,8.1589685891
2015-04-04 13:30:00,8.1606731242
2015-04-04 14:30:00,8.161677712
2015-04-04 15:30:00,8.153564899
2015-04-04 16:30:00,8.1505971624
2015-04-04 17:30:00,8.1488599317
2015-04-04 18:30:00,8.1465698045
2015-04-04 19:30:00,8.1466541056
2015-04-04 20:30:00,8.1519558737
2015-04-04 21:30:00,8.1516987416
2015-04-04 22:30:00,8.1485273712
2015-04-04 23:30:00,8.1509108586
2015-04-05 00:30:00,8.1542282354
2015-04-05 01:30:00,8.1503465276
2015-04-05 02:30:00,8.1494859601
2015-04-05 03:30:00,8.1502755798
2015-04-05 04:30:00,8.1482439935
2015-04-05 05:30:00,8.1501434225
2015-04-05 06:30:00,8.1499177409
2015-04-05 07:30:00,8.1466807626
2015-04-05 08:30:00,8.1466878113
2015-04-05 09:30:00,8.1452568673
2015-04-05 10:30:00,8.1444713723
2015-04-05 11:30:00,8.1408939631
2015-04-05 12:30:00,8.1425175784
2015-04-05 13:30:00,8.1415715979
2015-04-05 14:30:00,8.1479457598
2015-04-05 15:30:00,8.1420346255
2015-04-05 16:30:00,8.1425526706
2015-04-05 17:30:00,8.1408848687
2015-04-05 18:30:00,8.1427290643
2015-04-05 19:30:00,8.1415995076
2015-04-05 20:30:00,8.1439785454
2015-04-05 21:30:00,8.1404366016
2015-04-05 22:30:00,8.1427502273
2015-04-05 23:30:00,8.1377389504
2015-04-06 00:30:00,8.1390156253
2015-04-06 01:30:00,8.1366819614
2015-04-06 02:30:00,8.139321716
2015-04-06 03:30:00,8.1407857907
2015-04-06 04:30:00,8.1399688814
2015-04-06 05:30:00,8.1379308407
2015-04-06 06:30:00,8.1387119892
