time,pH
2015-04-05 17:30:00,8.1572906207
2015-04-05 18:30:00,8.1743298116
2015-04-05 19:30:00,8.1867794377
2015-04-05 20:30:00,8.1850515768
2015-04-05 21:30:00,8.1900987256
2015-04-05 22:30:00,8.1791321951
2015-04-05 23:30:00,8.1893924559
2015-04-06 00:30:00,8.1833420187
2015-04-06 01:30:00,8.1445371547
2015-04-06 02:30:00,8.1480127978
2015-04-06 03:30:00,8.1777922964
2015-04-06 04:30:00,8.181010325
2015-04-06 05:30:00,8.1537756996
2015-04-06 06:30:00,8.1551756431
2015-04-06 07:30:00,8.1667976145
2015-04-06 08:30:00,8.1794947784
2015-04-06 09:30:00,8.1578585483
2015-04-06 10:30:00,8.1652250835
2015-04-06 11:30:00,8.1580457148
2015-04-06 12:30:00,8.1653631204
2015-04-06 13:30:00,8.1424300406
2015-04-06 14:30:00,8.1261452629
2015-04-06 15:30:00,8.1297405914
2015-04-06 16:30:00,8.1206763056
2015-04-06 17:30:00,8.1354986555
2015-04-06 18:30:00,8.196697752
2015-04-06 19:30:00,8.1902096773
2015-04-06 20:30:00,8.2091803007
2015-04-06 21:30:00,8.203400836
2015-04-06 22:30:00,8.1980535496
2015-04-06 23:30:00,8.2034788582
2015-04-07 00:30:00,8.1881723326
2015-04-07 01:30:00,8.141744242
2015-04-07 02:30:00,8.1319227582
2015-04-07 03:30:00,8.1558008096
2015-04-07 04:30:00,8.1531527307
2015-04-07 05:30:00,8.1437922216
2015-04-07 06:30:00,8.1987485142
2015-04-07 07:30:00,8.2125880599
2015-04-07 08:30:00,8.2048014763
2015-04-07 09:30:00,8.1920525639
2015-04-07 10:30:00,8.1674571962
2015-04-07 11:30:00,8.1629855353
2015-04-07 12:30:00,8.1634211294
2015-04-07 13:30:00,8.1952452817
2015-04-07 14:30:00,8.1977962491
2015-04-07 15:30:00,8.1534252037
2015-04-07 16:30:00,8.1509122312
2015-04-07 17:30:00,8.1450720752
2015-04-07 18:30:00,8.1506779257
2015-04-07 19:30:00,8.2144188045
2015-04-07 20:30:00,8.1635084177
2015-04-07 21:30:00,8.1624311219
2015-04-07 22:30:00,8.166989732
2015-04-07 23:30:00,8.1732751398
2015-04-08 00:30:00,8.2166008059
2015-04-08 01:30:00,8.2114559477
2015-04-08 02:30:00,8.187043132
2015-04-08 03:30:00,8.1673672262
2015-04-08 04:30:00,8.1810768026
2015-04-08 05:30:00,8.2209177502
2015-04-08 06:30:00,8.2150936388
2015-04-08 07:30:00,8.2201219532
2015-04-08 08:30:00,8.1958019729
2015-04-08 09:30:00,8.2204251938
2015-04-08 10:30:00,8.2176323631
2015-04-08 11:30:00,8.2251847627
